NazwaKraju,RodzajOkresu,NumerOkresu,Zgony2018,Zgony2019,Zgony2020
Węgry,T,40,2498,2442,2562
Węgry,T,41,2512,2382,2563
Węgry,T,42,2432,2394,2758
Węgry,T,43,2409,2355,2989
Węgry,T,44,2361,2297,3185
Węgry,T,45,2362,2443,3551
Węgry,T,46,2408,2358,3963
Węgry,T,47,2555,2301,3950
Węgry,T,48,2559,2355,4067
Węgry,T,49,2644,2558,4169
Węgry,T,50,2677,2526,4089
Węgry,T,51,2797,2536,3733
Węgry,T,52,2860,2494,3752
Islandia,T,1,62,39,57
Islandia,T,2,47,41,55
Islandia,T,3,41,40,52
Islandia,T,4,50,37,55
Islandia,T,5,47,43,39
Islandia,T,6,46,36,47
Islandia,T,7,44,47,49
Islandia,T,8,57,41,48
Islandia,T,9,50,47,43
Islandia,T,10,43,47,50
Islandia,T,11,37,57,42
Islandia,T,12,36,37,39
Islandia,T,13,55,48,43
Islandia,T,14,55,38,50
Islandia,T,15,51,42,50
Islandia,T,16,45,47,60
Islandia,T,17,41,53,35
Islandia,T,18,32,45,44
Islandia,T,19,43,44,37
Islandia,T,20,38,46,42
Islandia,T,21,51,36,50
Islandia,T,22,50,38,50
Islandia,T,23,54,45,34
Islandia,T,24,35,42,40
Islandia,T,25,36,39,31
Islandia,T,26,52,60,35
Islandia,T,27,40,40,35
Islandia,T,28,38,42,46
Islandia,T,29,33,30,42
Islandia,T,30,30,56,35
Islandia,T,31,41,33,36
Islandia,T,32,45,36,37
Islandia,T,33,25,37,43
Islandia,T,34,38,53,34
Islandia,T,35,36,36,28
Islandia,T,36,41,34,55
Islandia,T,37,45,33,40
Islandia,T,38,33,45,45
Islandia,T,39,50,53,37
Islandia,T,40,42,56,38
Islandia,T,41,51,48,53
Islandia,T,42,37,38,47
Islandia,T,43,54,38,50
Islandia,T,44,40,50,56
Islandia,T,45,39,38,50
Islandia,T,46,45,45,53
Islandia,T,47,42,51,45
Islandia,T,48,32,58,35
Islandia,T,49,43,45,39
Islandia,T,50,41,46,46
Islandia,T,51,42,36,43
Islandia,T,52,46,49,53
Iran,T,1,8204,8155,7869
Iran,T,2,8065,8269,7527
Iran,T,3,8326,8285,7717
Iran,T,4,8301,8093,7509
Iran,T,5,7971,8049,7443
Iran,T,6,8137,7604,8023
Iran,T,7,7346,7033,7344
Iran,T,8,7520,7714,8151
Iran,T,9,7853,7457,7895
Iran,T,10,7285,7318,8737
Iran,T,11,6607,7087,9866
Iran,T,12,6258,6838,10800
Iran,T,13,7962,6674,8697
Iran,T,14,6297,5990,8088
Iran,T,15,7205,8574,10126
Iran,T,16,6600,6931,9272
Iran,T,17,7047,7045,8381
Iran,T,18,6475,7267,8146
Iran,T,19,7089,7090,7578
Iran,T,20,6720,6618,7311
Iran,T,21,6879,6860,7494
Iran,T,22,6169,6296,6934
Iran,T,23,5679,5796,7831
Iran,T,24,7237,8113,9429
Iran,T,25,6592,7125,8421
Iran,T,26,7108,7127,9823
Iran,T,27,6992,7234,9477
Iran,T,28,7053,7153,9826
Iran,T,29,7388,7202,10214
Iran,T,30,7339,7426,10512
Iran,T,31,7289,7300,11327
Iran,T,32,6953,6927,10652
Iran,T,33,6526,6404,9550
Iran,T,34,6067,6780,9726
Iran,T,35,6796,7469,9370
Iran,T,36,7149,6742,8351
Iran,T,37,6294,6173,9179
Iran,T,38,6165,7442,9046
Iran,T,39,8112,7408,9572
Iran,T,40,7032,7249,10081
Iran,T,41,6894,7090,10211
Iran,T,42,7000,7096,11648
Iran,T,43,6918,7051,11607
Iran,T,44,6450,6959,13076
Iran,T,45,6699,8068,14019
Iran,T,46,7992,8699,15608
Iran,T,47,7213,8571,14412
Iran,T,48,7463,9409,13887
Iran,T,49,7575,8816,12211
Iran,T,50,7382,8597,11198
Iran,T,51,7510,8264,10654
Iran,T,52,8288,7982,9764
Irlandia,M,1,3488,3035,2969
Irlandia,M,2,2850,2615,2650
Irlandia,M,3,2994,2685,2898
Irlandia,M,4,2596,2504,3502
Irlandia,M,5,2385,2652,2681
Irlandia,M,6,2291,2385,2225
Irlandia,M,7,2334,2326,2285
Irlandia,M,8,2244,2307,2360
Irlandia,M,9,2295,2386,2381
Irlandia,M,10,2483,2627,2723
Irlandia,M,11,2527,2696,2548
Irlandia,M,12,2653,3052,2759
Izrael,T,1,1011,970,1092
Izrael,T,2,999,1077,1010
Izrael,T,3,1016,1126,1099
Izrael,T,4,1006,1143,1001
Izrael,T,5,1015,1067,991
Izrael,T,6,989,1054,944
Izrael,T,7,1010,973,966
Izrael,T,8,974,1033,991
Izrael,T,9,934,1011,906
Izrael,T,10,909,1003,930
Izrael,T,11,907,996,965
Izrael,T,12,868,943,892
Izrael,T,13,872,925,984
Izrael,T,14,846,852,1029
Izrael,T,15,790,892,880
Izrael,T,16,803,880,928
Izrael,T,17,799,894,901
Izrael,T,18,812,971,831
Izrael,T,19,797,847,857
Izrael,T,20,820,846,847
Izrael,T,21,818,838,961
Izrael,T,22,763,829,837
Izrael,T,23,820,758,811
Izrael,T,24,718,829,785
Izrael,T,25,821,771,792
Izrael,T,26,762,732,779
Izrael,T,27,788,791,780
Izrael,T,28,812,719,838
Izrael,T,29,779,776,836
Izrael,T,30,798,802,817
Izrael,T,31,752,779,938
Izrael,T,32,774,797,858
Izrael,T,33,780,789,944
Izrael,T,34,831,751,913
Izrael,T,35,799,841,899
Izrael,T,36,805,785,897
Izrael,T,37,787,798,963
Izrael,T,38,798,758,1005
Izrael,T,39,782,817,1026
Izrael,T,40,783,798,1011
Izrael,T,41,814,802,1114
Izrael,T,42,807,851,1080
Izrael,T,43,877,810,1047
Izrael,T,44,901,834,933
Izrael,T,45,878,907,907
Izrael,T,46,843,857,815
Izrael,T,47,859,799,930
Izrael,T,48,870,909,930
Izrael,T,49,865,876,928
Izrael,T,50,899,941,967
Izrael,T,51,939,933,1007
Izrael,T,52,898,1033,1016
Włochy,T,1,16245,14168,13483
Włochy,T,2,15947,14863,13974
Włochy,T,3,15234,15325,14049
Włochy,T,4,14698,15360,13989
Włochy,T,5,14551,15807,13900
Włochy,T,6,13844,15228,13537
Włochy,T,7,14034,15072,13641
Włochy,T,8,14026,14674,13257
Włochy,T,9,14406,14605,13696
Włochy,T,10,14197,13827,14706
Włochy,T,11,13306,13344,18234
Włochy,T,12,12417,12655,21929
Włochy,T,13,12793,12486,23457
Włochy,T,14,12404,12714,20901
Włochy,T,15,12140,12107,18949
Włochy,T,16,11917,12167,16757
Włochy,T,17,11742,11895,14725
Włochy,T,18,11060,11522,13156
Włochy,T,19,11030,11699,12604
Włochy,T,20,10857,11552,11976
Włochy,T,21,11329,11619,11447
Włochy,T,22,11317,11350,10982
Włochy,T,23,10996,12261,11144
Włochy,T,24,11091,11982,10708
Włochy,T,25,11003,11375,11123
Włochy,T,26,10550,12667,12070
Włochy,T,27,11146,12324,12396
Włochy,T,28,11117,11617,11484
Włochy,T,29,11180,11019,10923
Włochy,T,30,11132,12024,11393
Włochy,T,31,12305,10974,12724
Włochy,T,32,12469,11395,12115
Włochy,T,33,11204,11256,12410
Włochy,T,34,11189,11046,11914
Włochy,T,35,10851,10908,11761
Włochy,T,36,11008,10448,11262
Włochy,T,37,11098,11025,11627
Włochy,T,38,11177,10907,11821
Włochy,T,39,10903,10986,11179
Włochy,T,40,11485,10953,12017
Włochy,T,41,11614,11441,12246
Włochy,T,42,11593,11515,12746
Włochy,T,43,11891,11769,14547
Włochy,T,44,11551,11234,15659
Włochy,T,45,11805,11740,17335
Włochy,T,46,11811,12125,18647
Włochy,T,47,12532,11968,18784
Włochy,T,48,12391,12024,18887
Włochy,T,49,12739,11897,17995
Włochy,T,50,12827,12666,17482
Włochy,T,51,13306,12981,17073
Włochy,T,52,13426,12398,15703
Jamajka,M,1,1695,1743,1596
Jamajka,M,2,1521,1681,1453
Jamajka,M,3,1670,1727,1525
Jamajka,M,4,1549,1537,1479
Jamajka,M,5,1513,1466,1462
Jamajka,M,6,1472,1617,1503
Jamajka,M,7,1607,1593,1551
Jamajka,M,8,1402,1612,1672
Jamajka,M,9,1380,1529,1685
Jamajka,M,10,1422,1545,1659
Jamajka,M,11,1353,1622,1628
Jamajka,M,12,1560,1547,1765
Japonia,M,1,137773,140223,132622
Japonia,M,2,122855,117312,117010
Japonia,M,3,120575,118335,119161
Japonia,M,4,108977,112790,113362
Japonia,M,5,106196,110055,108380
Japonia,M,6,98406,102354,100423
Japonia,M,7,106782,106594,104849
Japonia,M,8,105948,111436,111591
Japonia,M,9,104679,107694,107468
Japonia,M,10,112320,114284,118038
Japonia,M,11,114473,119462,118455
Japonia,M,12,123486,127236,133185
Jordania,M,1,2753,2914,3226
Jordania,M,2,2244,2278,2490
Jordania,M,3,2522,2137,2486
Jordania,M,4,2172,1983,2084
Jordania,M,5,2157,2108,2350
Jordania,M,6,1981,2145,2068
Jordania,M,7,2042,2150,2113
Jordania,M,8,2068,2385,2202
Jordania,M,9,1998,2437,2290
Jordania,M,10,2199,2926,3414
Jordania,M,11,2232,2903,4960
Jordania,M,12,2667,2686,3390
Kazachstan,M,1,11786,12402,11867
Kazachstan,M,2,10527,10768,10842
Kazachstan,M,3,11519,10582,8511
Kazachstan,M,4,10963,11617,4441
Kazachstan,M,5,11634,11183,14358
Kazachstan,M,6,10333,10061,14949
Kazachstan,M,7,11289,12420,28178
Kazachstan,M,8,9963,10477,17835
Kazachstan,M,9,10089,10535,13672
Kazachstan,M,10,11363,11680,12489
Kazachstan,M,11,10780,10386,12388
Kazachstan,M,12,10269,11378,13083
Kosowo,M,1,874,873,906
Kosowo,M,2,804,775,805
Kosowo,M,3,808,897,831
Kosowo,M,4,700,769,739
Kosowo,M,5,714,743,841
Kosowo,M,6,720,743,854
Kosowo,M,7,695,761,1426
Kosowo,M,8,772,774,1426
Kosowo,M,9,700,717,915
Kosowo,M,10,768,775,984
Kosowo,M,11,692,777,1610
Kosowo,M,12,751,826,1650
Kuwejt,M,1,708,735,599
Kuwejt,M,2,575,593,607
Kuwejt,M,3,574,692,636
Kuwejt,M,4,550,608,702
Kuwejt,M,5,509,575,1347
Kuwejt,M,6,548,589,1235
Kuwejt,M,7,505,577,1047
Kuwejt,M,8,535,563,907
Kuwejt,M,9,526,559,878
Kuwejt,M,10,583,562,906
Kuwejt,M,11,570,621,903
Kuwejt,M,12,624,632,802
Kirgistan,M,1,2781,3085,3082
Kirgistan,M,2,2565,2590,2900
Kirgistan,M,3,2887,2606,2390
Kirgistan,M,4,2749,2827,1263
Kirgistan,M,5,2775,2802,2919
Kirgistan,M,6,2594,2377,3559
Kirgistan,M,7,2912,3059,4045
Kirgistan,M,8,2646,2663,4572
Kirgistan,M,9,2432,2584,3411
Kirgistan,M,10,2803,2809,3423
Kirgistan,M,11,2804,2687,4154
Kirgistan,M,12,3041,3206,4259
Łotwa,T,1,567,586,603
Łotwa,T,2,555,669,591
Łotwa,T,3,598,669,537
Łotwa,T,4,606,612,555
Łotwa,T,5,587,636,560
Łotwa,T,6,568,619,534
Łotwa,T,7,589,599,545
Łotwa,T,8,671,596,543
Łotwa,T,9,707,572,523
Łotwa,T,10,699,575,507
Łotwa,T,11,664,533,549
Łotwa,T,12,706,557,546
Łotwa,T,13,687,562,532
Łotwa,T,14,648,523,571
Łotwa,T,15,606,552,567
Łotwa,T,16,582,509,514
Łotwa,T,17,517,564,554
Łotwa,T,18,502,455,522
Łotwa,T,19,554,545,453
Łotwa,T,20,526,501,587
Łotwa,T,21,527,533,538
Łotwa,T,22,537,490,506
Łotwa,T,23,452,498,505
Łotwa,T,24,455,488,523
Łotwa,T,25,491,505,514
Łotwa,T,26,495,469,560
Łotwa,T,27,492,483,516
Łotwa,T,28,534,493,472
Łotwa,T,29,587,535,526
Łotwa,T,30,528,492,494
Łotwa,T,31,592,456,493
Łotwa,T,32,484,448,501
Łotwa,T,33,440,484,524
Łotwa,T,34,483,453,530
Łotwa,T,35,486,473,473
Łotwa,T,36,521,456,481
Łotwa,T,37,466,505,481
Łotwa,T,38,513,463,487
Łotwa,T,39,503,562,536
Łotwa,T,40,545,534,543
Łotwa,T,41,501,532,508
Łotwa,T,42,502,511,557
Łotwa,T,43,514,511,575
Łotwa,T,44,538,509,559
Łotwa,T,45,535,486,558
Łotwa,T,46,521,481,572
Łotwa,T,47,496,538,600
Łotwa,T,48,532,548,618
Łotwa,T,49,572,544,669
Łotwa,T,50,560,558,711
Łotwa,T,51,613,563,730
Łotwa,T,52,589,597,820
Liban,M,1,2275,2654,2779
Liban,M,2,2179,2222,2485
Liban,M,3,2454,2400,2222
Liban,M,4,1983,2147,1836
Liban,M,5,2513,2213,2183
Liban,M,6,1893,1988,1826
Liban,M,7,1925,1986,1938
Liban,M,8,1708,1750,2139
Liban,M,9,1700,1755,2218
Liban,M,10,2415,1879,2765
Liban,M,11,2035,1933,2857
Liban,M,12,2016,2022,3144
Liechtenstein,M,1,25,15,19
Liechtenstein,M,2,20,25,30
Liechtenstein,M,3,36,22,23
Liechtenstein,M,4,22,27,22
Liechtenstein,M,5,17,20,21
Liechtenstein,M,6,23,21,18
Liechtenstein,M,7,20,20,19
Liechtenstein,M,8,28,23,23
Liechtenstein,M,9,22,19,30
Liechtenstein,M,10,17,23,23
Liechtenstein,M,11,25,28,39
Liechtenstein,M,12,19,20,52
Litwa,T,1,826,842,812
Litwa,T,2,788,878,803
Litwa,T,3,879,910,787
Litwa,T,4,862,982,786
Litwa,T,5,911,895,762
Litwa,T,6,957,854,764
Litwa,T,7,947,800,809
Litwa,T,8,965,831,707
Litwa,T,9,964,783,807
Litwa,T,10,903,783,773
Litwa,T,11,858,754,773
Litwa,T,12,802,780,804
Litwa,T,13,800,678,816
Litwa,T,14,856,726,775
Litwa,T,15,790,723,803
Litwa,T,16,785,709,784
Litwa,T,17,701,773,786
Litwa,T,18,739,714,769
Litwa,T,19,777,691,717
Litwa,T,20,726,707,733
Litwa,T,21,708,788,715
Litwa,T,22,730,708,745
Litwa,T,23,622,788,735
Litwa,T,24,688,763,820
Litwa,T,25,662,660,760
Litwa,T,26,648,746,811
Litwa,T,27,623,677,689
Litwa,T,28,691,671,703
Litwa,T,29,733,681,764
Litwa,T,30,719,727,757
Litwa,T,31,807,611,723
Litwa,T,32,736,665,726
Litwa,T,33,678,661,746
Litwa,T,34,694,680,763
Litwa,T,35,623,715,721
Litwa,T,36,627,662,673
Litwa,T,37,645,635,729
Litwa,T,38,658,641,721
Litwa,T,39,682,708,784
Litwa,T,40,701,714,744
Litwa,T,41,729,678,785
Litwa,T,42,711,732,836
Litwa,T,43,753,661,845
Litwa,T,44,706,671,853
Litwa,T,45,686,720,877
Litwa,T,46,681,657,952
Litwa,T,47,727,702,1099
Litwa,T,48,741,774,1109
Litwa,T,49,843,681,1238
Litwa,T,50,773,726,1220
Litwa,T,51,770,720,1371
Litwa,T,52,821,748,1395
Luksemburg,T,1,85,98,62
Luksemburg,T,2,100,82,85
Luksemburg,T,3,84,81,92
Luksemburg,T,4,85,83,86
Luksemburg,T,5,96,101,89
Luksemburg,T,6,115,106,90
Luksemburg,T,7,111,112,70
Luksemburg,T,8,112,89,85
Luksemburg,T,9,111,90,74
Luksemburg,T,10,135,83,92
Luksemburg,T,11,85,78,87
Luksemburg,T,12,94,83,87
Luksemburg,T,13,70,92,113
Luksemburg,T,14,75,77,91
Luksemburg,T,15,80,70,116
Luksemburg,T,16,83,78,88
Luksemburg,T,17,64,82,83
Luksemburg,T,18,67,81,69
Luksemburg,T,19,77,66,87
Luksemburg,T,20,75,77,80
Luksemburg,T,21,84,82,77
Luksemburg,T,22,53,80,77
Luksemburg,T,23,89,71,73
Luksemburg,T,24,74,67,70
Luksemburg,T,25,57,63,78
Luksemburg,T,26,77,92,67
Luksemburg,T,27,77,71,70
Luksemburg,T,28,63,86,73
Luksemburg,T,29,69,70,73
Luksemburg,T,30,88,72,71
Luksemburg,T,31,100,72,91
Luksemburg,T,32,95,82,93
Luksemburg,T,33,81,79,99
Luksemburg,T,34,58,65,72
Luksemburg,T,35,72,77,61
Luksemburg,T,36,88,73,86
Luksemburg,T,37,60,78,73
Luksemburg,T,38,60,72,87
Luksemburg,T,39,84,85,75
Luksemburg,T,40,91,83,82
Luksemburg,T,41,90,87,69
Luksemburg,T,42,86,62,87
Luksemburg,T,43,61,83,93
Luksemburg,T,44,83,103,98
Luksemburg,T,45,98,90,113
Luksemburg,T,46,70,102,117
Luksemburg,T,47,89,89,126
Luksemburg,T,48,72,89,134
Luksemburg,T,49,69,87,110
Luksemburg,T,50,85,89,126
Luksemburg,T,51,92,83,105
Luksemburg,T,52,81,95,117
Makao,M,1,188,245,201
Makao,M,2,170,187,187
Makao,M,3,165,186,167
Makao,M,4,156,191,189
Makao,M,5,163,187,165
Makao,M,6,157,171,178
Makao,M,7,180,191,187
Makao,M,8,174,196,206
Makao,M,9,164,190,184
Makao,M,10,177,148,184
Makao,M,11,177,168,192
Makao,M,12,198,222,190
Malezja,M,1,14960,14872,16028
Malezja,M,2,13996,13399,13827
Malezja,M,3,14985,14750,14676
Malezja,M,4,14224,14128,13038
Malezja,M,5,14413,14540,13886
Malezja,M,6,14033,14734,13317
Malezja,M,7,14461,14850,13659
Malezja,M,8,14278,14328,13950
Malezja,M,9,13417,13579,13249
Malezja,M,10,13823,14282,13880
Malezja,M,11,14144,14685,12846
Malezja,M,12,15297,15599,14151
Malediwy,M,1,114,110,114
Malediwy,M,2,98,78,96
Malediwy,M,3,117,101,109
Malediwy,M,4,99,87,91
Malediwy,M,5,113,89,109
Malediwy,M,6,89,80,91
Malediwy,M,7,100,98,115
Malediwy,M,8,91,85,129
Malediwy,M,9,93,78,112
Malediwy,M,10,100,91,103
Malediwy,M,11,90,86,110
Malediwy,M,12,112,58,96
Malta,T,1,108,99,93
Malta,T,2,74,87,93
Malta,T,3,86,116,107
Malta,T,4,82,105,88
Malta,T,5,77,102,77
Malta,T,6,85,87,90
Malta,T,7,99,78,72
Malta,T,8,107,88,73
Malta,T,9,90,107,68
Malta,T,10,91,88,70
Malta,T,11,77,72,90
Malta,T,12,76,87,104
Malta,T,13,56,75,80
Malta,T,14,79,75,75
Malta,T,15,63,68,77
Malta,T,16,68,75,93
Malta,T,17,68,64,56
Malta,T,18,73,72,74
Malta,T,19,68,70,71
Malta,T,20,71,63,71
Malta,T,21,72,50,52
Malta,T,22,69,73,67
Malta,T,23,64,53,65
Malta,T,24,75,74,57
Malta,T,25,59,63,61
Malta,T,26,64,72,47
Malta,T,27,62,55,69
Malta,T,28,60,68,62
Malta,T,29,69,50,64
Malta,T,30,65,65,62
Malta,T,31,58,68,64
Malta,T,32,54,72,63
Malta,T,33,59,56,58
Malta,T,34,64,46,81
Malta,T,35,65,62,73
Malta,T,36,55,74,71
Malta,T,37,67,60,64
Malta,T,38,56,53,63
Malta,T,39,61,48,80
Malta,T,40,60,63,84
Malta,T,41,72,47,71
Malta,T,42,51,63,62
Malta,T,43,72,68,67
Malta,T,44,49,51,89
Malta,T,45,74,63,84
Malta,T,46,66,66,95
Malta,T,47,55,75,89
Malta,T,48,69,76,93
Malta,T,49,71,58,106
Malta,T,50,78,57,102
Malta,T,51,59,73,109
Malta,T,52,100,84,114
Martynika,T,1,55,56,51
Martynika,T,2,86,70,66
Martynika,T,3,66,69,70
Martynika,T,4,60,66,50
Martynika,T,5,74,66,72
Martynika,T,6,69,66,69
Martynika,T,7,65,71,59
Martynika,T,8,67,69,69
Martynika,T,9,68,78,56
Martynika,T,10,72,78,77
Martynika,T,11,52,66,62
Martynika,T,12,63,84,73
Martynika,T,13,64,63,66
Martynika,T,14,65,72,79
Martynika,T,15,48,73,72
Martynika,T,16,44,58,66
Martynika,T,17,72,64,60
Martynika,T,18,51,59,64
Martynika,T,19,55,74,79
Martynika,T,20,67,59,67
Martynika,T,21,70,84,61
Martynika,T,22,61,55,72
Martynika,T,23,68,72,51
Martynika,T,24,81,65,71
Martynika,T,25,58,68,79
Martynika,T,26,52,80,62
Martynika,T,27,61,71,66
Martynika,T,28,76,87,68
Martynika,T,29,66,70,65
Martynika,T,30,54,76,62
Martynika,T,31,54,82,65
Martynika,T,32,69,79,60
Martynika,T,33,59,65,75
Martynika,T,34,63,65,74
Martynika,T,35,58,56,68
Martynika,T,36,78,69,74
Martynika,T,37,62,65,93
Martynika,T,38,69,63,103
Martynika,T,39,63,56,82
Martynika,T,40,62,74,77
Martynika,T,41,62,73,74
Martynika,T,42,56,62,70
Martynika,T,43,66,53,67
Martynika,T,44,48,59,67
Martynika,T,45,49,73,66
Martynika,T,46,67,62,85
Martynika,T,47,61,72,68
Martynika,T,48,47,60,66
Martynika,T,49,67,63,59
Martynika,T,50,61,59,70
Martynika,T,51,70,67,60
Martynika,T,52,72,74,68
Mauritius,M,1,907,1019,965
Mauritius,M,2,846,843,845
Mauritius,M,3,941,954,929
Mauritius,M,4,865,873,850
Mauritius,M,5,868,888,893
Mauritius,M,6,881,820,910
Mauritius,M,7,1032,1065,1006
Mauritius,M,8,905,1018,1002
Mauritius,M,9,906,972,906
Mauritius,M,10,888,918,932
Mauritius,M,11,848,832,899
Mauritius,M,12,900,972,923
Majotta,T,1,14,10,13
Majotta,T,2,25,15,17
Majotta,T,3,18,12,16
Majotta,T,4,13,21,14
Majotta,T,5,20,11,10
Majotta,T,6,14,11,28
Majotta,T,7,14,9,14
Majotta,T,8,11,17,23
Majotta,T,9,10,18,22
Majotta,T,10,14,10,16
Majotta,T,11,13,15,20
Majotta,T,12,9,19,23
Majotta,T,13,20,22,20
Majotta,T,14,9,14,29
Majotta,T,15,17,17,23
Majotta,T,16,9,22,33
Majotta,T,17,11,18,12
Majotta,T,18,16,21,26
Majotta,T,19,15,19,19
Majotta,T,20,7,8,24
Majotta,T,21,15,12,20
Majotta,T,22,17,8,21
Majotta,T,23,14,12,13
Majotta,T,24,14,17,22
Majotta,T,25,8,13,9
Majotta,T,26,15,12,13
Majotta,T,27,12,13,17
Majotta,T,28,11,18,18
Majotta,T,29,13,13,11
Majotta,T,30,15,14,18
Majotta,T,31,16,17,20
Majotta,T,32,13,11,15
Majotta,T,33,13,16,20
Majotta,T,34,10,19,19
Majotta,T,35,9,11,14
Majotta,T,36,21,19,16
Majotta,T,37,17,8,10
Majotta,T,38,11,8,16
Majotta,T,39,11,9,23
Majotta,T,40,12,20,14
Majotta,T,41,9,6,10
Majotta,T,42,16,14,14
Majotta,T,43,16,23,12
Majotta,T,44,14,20,14
Majotta,T,45,18,10,18
Majotta,T,46,10,14,15
Majotta,T,47,16,18,21
Majotta,T,48,15,14,11
Majotta,T,49,16,12,24
Majotta,T,50,13,17,19
Majotta,T,51,16,11,17
Majotta,T,52,10,10,22
Meksyk,T,1,16721,17723,16688
Meksyk,T,2,16170,16602,16859
Meksyk,T,3,16738,16252,16292
Meksyk,T,4,16041,15864,15641
Meksyk,T,5,15770,15862,15268
Meksyk,T,6,15306,15689,15751
Meksyk,T,7,14588,15445,14925
Meksyk,T,8,14199,14755,14542
Meksyk,T,9,14001,14639,13954
Meksyk,T,10,13552,14391,14049
Meksyk,T,11,13497,13749,13901
Meksyk,T,12,13254,13660,13235
Meksyk,T,13,13191,13903,13729
Meksyk,T,14,13577,14049,13564
Meksyk,T,15,12888,13718,14074
Meksyk,T,16,13080,13743,15043
Meksyk,T,17,12657,13718,17134
Meksyk,T,18,13040,13698,18862
Meksyk,T,19,12784,13792,20672
Meksyk,T,20,13172,13590,22374
Meksyk,T,21,13125,14160,23296
Meksyk,T,22,13567,13438,23248
Meksyk,T,23,13025,13382,24247
Meksyk,T,24,12451,13398,24881
Meksyk,T,25,12932,13562,25179
Meksyk,T,26,12610,13111,24914
Meksyk,T,27,12845,13496,25708
Meksyk,T,28,13114,13146,26640
Meksyk,T,29,13334,13276,26601
Meksyk,T,30,13455,13256,25898
Meksyk,T,31,12997,13596,24901
Meksyk,T,32,12602,13242,23897
Meksyk,T,33,12767,13610,22767
Meksyk,T,34,12503,13293,21813
Meksyk,T,35,12811,13023,20894
Meksyk,T,36,12556,12986,20239
Meksyk,T,37,12780,12943,19546
Meksyk,T,38,12994,13838,18885
Meksyk,T,39,12807,13521,19010
Meksyk,T,40,12931,13433,18563
Meksyk,T,41,13232,13438,18914
Meksyk,T,42,13115,13736,18907
Meksyk,T,43,13435,13611,19661
Meksyk,T,44,13772,13959,20367
Meksyk,T,45,13897,14035,21475
Meksyk,T,46,14612,14238,21732
Meksyk,T,47,15202,14855,22388
Meksyk,T,48,14647,13793,22623
Meksyk,T,49,14833,13894,23596
Meksyk,T,50,15216,13926,25414
Meksyk,T,51,16440,13545,26634
Meksyk,T,52,17373,15634,29677
Mołdowa,M,1,3623,3992,3477
Mołdowa,M,2,3094,3277,3098
Mołdowa,M,3,3468,3220,2708
Mołdowa,M,4,3032,2866,2275
Mołdowa,M,5,3038,3428,3873
Mołdowa,M,6,2844,2825,3339
Mołdowa,M,7,2653,2704,3355
Mołdowa,M,8,2545,2711,2707
Mołdowa,M,9,3002,2658,3467
Mołdowa,M,10,3261,3029,3829
Mołdowa,M,11,3411,3039,3736
Mołdowa,M,12,3205,3045,4852
Monako,M,1,72,41,46
Monako,M,2,37,39,36
Monako,M,3,45,49,53
Monako,M,4,47,47,45
Monako,M,5,38,41,38
Monako,M,6,31,37,39
Monako,M,7,32,48,37
Monako,M,8,45,37,43
Monako,M,9,45,42,44
Monako,M,10,39,47,47
Monako,M,11,50,50,42
Monako,M,12,41,50,51
Mongolia,M,1,1486,1573,1366
Mongolia,M,2,1370,1358,1298
Mongolia,M,3,1486,1373,1292
Mongolia,M,4,1375,1431,1310
Mongolia,M,5,1432,1508,1288
Mongolia,M,6,1367,1280,1306
Mongolia,M,7,1533,1410,1402
Mongolia,M,8,1391,1425,1331
Mongolia,M,9,1460,1365,1405
Mongolia,M,10,1461,1542,1427
Mongolia,M,11,1361,1266,1278
Mongolia,M,12,1609,1674,1219
Czarnogóra,T,1,155,141,86
Czarnogóra,T,2,127,152,119
Czarnogóra,T,3,153,142,145
Czarnogóra,T,4,119,171,133
Czarnogóra,T,5,136,169,139
Czarnogóra,T,6,115,142,150
Czarnogóra,T,7,131,140,130
Czarnogóra,T,8,150,170,142
Czarnogóra,T,9,158,129,119
Czarnogóra,T,10,144,149,141
Czarnogóra,T,11,126,121,113
Czarnogóra,T,12,126,116,126
Czarnogóra,T,13,135,114,150
Czarnogóra,T,14,151,117,118
Czarnogóra,T,15,127,120,123
Czarnogóra,T,16,100,139,113
Czarnogóra,T,17,125,123,101
Czarnogóra,T,18,130,136,112
Czarnogóra,T,19,127,110,95
Czarnogóra,T,20,102,109,115
Czarnogóra,T,21,109,117,113
Czarnogóra,T,22,111,91,115
Czarnogóra,T,23,110,121,112
Czarnogóra,T,24,116,134,113
Czarnogóra,T,25,102,126,101
Czarnogóra,T,26,126,131,115
Czarnogóra,T,27,108,117,154
Czarnogóra,T,28,107,112,137
Czarnogóra,T,29,117,112,146
Czarnogóra,T,30,124,123,156
Czarnogóra,T,31,120,107,151
Czarnogóra,T,32,129,112,131
Czarnogóra,T,33,96,129,112
Czarnogóra,T,34,122,121,137
Czarnogóra,T,35,120,119,139
Czarnogóra,T,36,124,124,148
Czarnogóra,T,37,116,122,124
Czarnogóra,T,38,125,112,131
Czarnogóra,T,39,99,106,154
Czarnogóra,T,40,133,121,149
Czarnogóra,T,41,123,127,147
Czarnogóra,T,42,114,119,159
Czarnogóra,T,43,124,106,183
Czarnogóra,T,44,117,113,176
Czarnogóra,T,45,120,134,174
Czarnogóra,T,46,125,125,164
Czarnogóra,T,47,132,128,200
Czarnogóra,T,48,134,132,169
Czarnogóra,T,49,128,134,167
Czarnogóra,T,50,116,147,163
Czarnogóra,T,51,149,141,196
