NazwaKraju,Mies./tyg.,NrOkresu,Zgony2018,Zgony2019,Zgony2021
Norwegia,T,26,741,767,719
Norwegia,T,27,775,735,770
Norwegia,T,28,737,732,716
Norwegia,T,29,720,741,756
Norwegia,T,30,773,721,744
Norwegia,T,31,677,727,767
Norwegia,T,32,705,705,777
Norwegia,T,33,694,733,789
Norwegia,T,34,754,677,784
Norwegia,T,35,715,779,791
Norwegia,T,36,694,713,786
Norwegia,T,37,705,707,819
Norwegia,T,38,720,755,817
Norwegia,T,39,712,818,806
Norwegia,T,40,701,710,804
Norwegia,T,41,714,786,802
Norwegia,T,42,744,782,845
Norwegia,T,43,696,792,893
Norwegia,T,44,814,774,917
Norwegia,T,45,776,786,953
Norwegia,T,46,736,845,915
Norwegia,T,47,720,784,948
Norwegia,T,48,802,776,969
Norwegia,T,49,821,850,1047
Norwegia,T,50,759,780,978
Norwegia,T,51,802,771,966
Norwegia,T,52,871,804,929
Oman,M,1,874,813,838
Oman,M,2,706,676,741
Oman,M,3,771,763,879
Oman,M,4,721,659,1105
Oman,M,5,687,677,1226
Oman,M,6,701,684,1741
Oman,M,7,733,683,1829
Oman,M,8,771,751,1026
Oman,M,9,706,730,711
Oman,M,10,768,707,784
Oman,M,11,715,707,768
Oman,M,12,826,731,847
Panama,M,1,1586,1807,3147
Panama,M,2,1412,1522,3028
Panama,M,3,1589,1534,2437
Panama,M,4,1657,1704,1872
Panama,M,5,1573,1692,1795
Panama,M,6,1555,1745,1953
Panama,M,7,1639,2001,2068
Panama,M,8,1651,1713,2142
Panama,M,9,1729,1688,1998
Panama,M,10,1820,1746,1821
Paragwaj,M,1,2520,2714,3268
Paragwaj,M,2,2295,2394,3290
Paragwaj,M,3,2529,2647,4701
Paragwaj,M,4,2486,2515,6352
Paragwaj,M,5,2700,2877,7547
Paragwaj,M,6,2921,3238,7129
Paragwaj,M,7,3024,3264,5088
Paragwaj,M,8,3249,3104,3658
Paragwaj,M,9,2818,2882,2865
Paragwaj,M,10,2610,2855,2840
Paragwaj,M,11,2410,2605,2740
Paragwaj,M,12,2750,2729,3166
Peru,T,1,1987,2238,3987
Peru,T,2,1980,2126,4638
Peru,T,3,1922,2132,5707
Peru,T,4,1953,2126,6710
Peru,T,5,1888,2345,7024
Peru,T,6,1914,2307,7696
Peru,T,7,2024,2251,7724
Peru,T,8,1948,2317,7396
Peru,T,9,1947,2372,7505
Peru,T,10,1893,2293,7391
Peru,T,11,1972,2252,7434
Peru,T,12,1970,2107,7580
Peru,T,13,1984,2110,7907
Peru,T,14,2100,2039,8474
Peru,T,15,1835,2096,8435
Peru,T,16,1985,2139,8253
Peru,T,17,1991,2023,7699
Peru,T,18,2129,2042,7175
Peru,T,19,2001,1981,6537
Peru,T,20,2118,2021,6059
Peru,T,21,2294,1995,5631
Peru,T,22,2288,2080,5290
Peru,T,23,2347,2124,4724
Peru,T,24,2442,2169,4335
Peru,T,25,2496,2257,4024
Peru,T,26,2454,2182,3818
Peru,T,27,2477,2234,3603
Peru,T,28,2320,2182,3335
Peru,T,29,2389,2255,3255
Peru,T,30,2377,2265,3166
Peru,T,31,2388,2231,3067
Peru,T,32,2373,2356,3117
Peru,T,33,2286,2206,2936
Peru,T,34,2217,2183,3109
Peru,T,35,2312,2296,2990
Peru,T,36,2288,2189,2889
Peru,T,37,2224,2243,2889
Peru,T,38,2259,2367,2946
Peru,T,39,2328,2243,2883
Peru,T,40,2244,2242,2975
Peru,T,41,2286,2212,2891
Peru,T,42,2296,2333,2868
Peru,T,43,2296,2220,2800
Peru,T,44,2243,2343,2943
Peru,T,45,2244,2263,2846
Peru,T,46,2059,2222,2801
Peru,T,47,2015,2198,2884
Peru,T,48,2029,2197,2981
Peru,T,49,2147,2251,3076
Peru,T,50,2169,2207,2989
Peru,T,51,2181,2172,3093
Peru,T,52,2204,2325,3313
Filipiny,M,1,52126,57701,57614
Filipiny,M,2,45236,48798,53107
Filipiny,M,3,48366,51109,61605
Filipiny,M,4,47626,50247,67914
Filipiny,M,5,49662,52108,71364
Filipiny,M,6,46353,49028,66931
Filipiny,M,7,49424,49494,75157
Filipiny,M,8,51375,50265,95734
Filipiny,M,9,49444,52035,114961
Filipiny,M,10,50917,54980,82400
Filipiny,M,11,48736,52787,57398
Polska,T,1,8372,8668,11478
Polska,T,2,8078,8586,10974
Polska,T,3,8639,8700,11022
Polska,T,4,8793,8798,10397
Polska,T,5,8987,9362,9880
Polska,T,6,9088,9269,9927
Polska,T,7,9128,9241,10117
Polska,T,8,9333,8717,9894
Polska,T,9,9864,8620,10155
Polska,T,10,10094,8388,10835
Polska,T,11,9472,8183,11564
Polska,T,12,9061,8025,12604
Polska,T,13,8689,7795,13833
Polska,T,14,8571,7783,13797
Polska,T,15,8216,7699,12790
Polska,T,16,7748,7730,11996
Polska,T,17,7584,8082,11074
Polska,T,18,7373,7485,10084
Polska,T,19,7311,7502,9678
Polska,T,20,7061,7435,8679
Polska,T,21,7309,7586,8233
Polska,T,22,7695,7445,8157
Polska,T,23,7177,7966,8137
Polska,T,24,7035,8240,8347
Polska,T,25,7068,7183,8359
Polska,T,26,7002,7352,7543
Polska,T,27,7353,7074,7656
Polska,T,28,7160,7113,7882
Polska,T,29,7178,7439,7352
Polska,T,30,7674,7660,7825
Polska,T,31,8007,7268,7392
Polska,T,32,7305,7186,7578
Polska,T,33,6850,6955,7410
Polska,T,34,6877,7040,7403
Polska,T,35,6934,7845,7405
Polska,T,36,7189,6957,8077
Polska,T,37,7142,6970,7829
Polska,T,38,7474,7391,8086
Polska,T,39,7398,7985,8144
Polska,T,40,7848,7689,8478
Polska,T,41,7567,7819,8538
Polska,T,42,7539,7803,8856
Polska,T,43,7754,7628,9490
Polska,T,44,7765,7637,9918
Polska,T,45,7614,7602,10769
Polska,T,46,7590,7551,12039
Polska,T,47,7709,7527,12723
Polska,T,48,7927,7677,13385
Polska,T,49,8094,7919,13783
Polska,T,50,7917,7942,13826
Polska,T,51,8162,8158,13733
Polska,T,52,8537,7949,13533
Portugalia,T,1,2851,2621,3836
Portugalia,T,2,2803,2884,4618
Portugalia,T,3,2805,2985,5044
Portugalia,T,4,2693,3021,4818
Portugalia,T,5,2619,2899,3973
Portugalia,T,6,2783,2779,3394
Portugalia,T,7,2815,2711,2862
Portugalia,T,8,2777,2546,2535
Portugalia,T,9,2656,2441,2354
Portugalia,T,10,2387,2329,2138
Portugalia,T,11,2371,2258,2115
Portugalia,T,12,2234,2199,2057
Portugalia,T,13,2356,2135,2133
Portugalia,T,14,2354,2097,1996
Portugalia,T,15,2276,2132,1966
Portugalia,T,16,2197,2096,1916
Portugalia,T,17,2117,2084,1893
Portugalia,T,18,2012,2081,2046
Portugalia,T,19,1970,1988,1912
Portugalia,T,20,2066,1931,1838
Portugalia,T,21,1982,1919,1996
Portugalia,T,22,1883,1948,1884
Portugalia,T,23,1977,1841,1947
Portugalia,T,24,1928,1873,1987
Portugalia,T,25,2104,1916,1854
Portugalia,T,26,1936,1919,1954
Portugalia,T,27,1765,1882,1953
Portugalia,T,28,1771,1898,2058
Portugalia,T,29,1816,1821,1960
Portugalia,T,30,1824,1841,1979
Portugalia,T,31,2250,1843,2066
Portugalia,T,32,2199,1838,2089
Portugalia,T,33,1939,1769,2129
Portugalia,T,34,1960,1938,2095
Portugalia,T,35,1766,1880,2083
Portugalia,T,36,1837,1933,1994
Portugalia,T,37,1796,1808,1923
Portugalia,T,38,1867,1899,2034
Portugalia,T,39,1828,1822,2016
Portugalia,T,40,1890,1901,2130
Portugalia,T,41,1935,1860,2140
Portugalia,T,42,1943,1909,2051
Portugalia,T,43,1996,2131,2187
Portugalia,T,44,2043,2134,2135
Portugalia,T,45,2124,2097,2425
Portugalia,T,46,2093,2148,2470
Portugalia,T,47,2071,2233,2568
Portugalia,T,48,2132,2241,2741
Portugalia,T,49,2150,2128,2628
Portugalia,T,50,2129,2290,2504
Portugalia,T,51,2249,2284,2596
Portugalia,T,52,2367,2313,2539
Portoryko,T,1,685,664,712
Portoryko,T,2,656,612,655
Portoryko,T,3,646,637,652
Portoryko,T,4,608,621,671
Portoryko,T,5,617,614,620
Portoryko,T,6,598,613,636
Portoryko,T,7,601,618,645
Portoryko,T,8,576,567,620
Portoryko,T,9,690,580,628
Portoryko,T,10,586,573,605
Portoryko,T,11,625,548,632
Portoryko,T,12,577,569,632
Portoryko,T,13,540,531,595
Portoryko,T,14,557,521,589
Portoryko,T,15,515,527,646
Portoryko,T,16,498,532,690
Portoryko,T,17,496,570,622
Portoryko,T,18,530,559,664
Portoryko,T,19,565,524,663
Portoryko,T,20,547,580,637
Portoryko,T,21,517,615,613
Portoryko,T,22,503,572,616
Portoryko,T,23,520,574,578
Portoryko,T,24,575,567,606
Portoryko,T,25,492,586,625
Portoryko,T,26,512,589,640
Portoryko,T,27,574,583,606
Portoryko,T,28,549,587,586
Portoryko,T,29,519,565,587
Portoryko,T,30,505,509,588
Portoryko,T,31,506,509,646
Portoryko,T,32,516,531,684
Portoryko,T,33,548,565,688
Portoryko,T,34,523,519,682
Portoryko,T,35,531,533,691
Portoryko,T,36,498,516,712
Portoryko,T,37,506,567,670
Portoryko,T,38,512,544,681
Portoryko,T,39,552,558,612
Portoryko,T,40,511,508,583
Portoryko,T,41,476,525,639
Portoryko,T,42,547,568,588
Portoryko,T,43,557,519,614
Portoryko,T,44,529,527,621
Portoryko,T,45,531,580,621
Portoryko,T,46,537,549,618
Portoryko,T,47,595,581,584
Portoryko,T,48,541,616,604
Portoryko,T,49,586,552,629
Portoryko,T,50,609,526,631
Portoryko,T,51,571,570,629
Portoryko,T,52,624,544,700
Katar,M,1,208,168,212
Katar,M,2,207,162,178
Katar,M,3,200,185,250
Katar,M,4,208,187,395
Katar,M,5,199,197,273
Katar,M,6,173,190,229
Katar,M,7,186,177,209
Katar,M,8,212,157,221
Katar,M,9,182,191,168
Katar,M,10,199,183,215
Katar,M,11,207,201,203
Katar,M,12,204,202,221
Reunion,T,1,98,107,102
Reunion,T,2,89,98,107
Reunion,T,3,101,97,106
Reunion,T,4,100,94,92
Reunion,T,5,95,107,97
Reunion,T,6,90,95,109
Reunion,T,7,98,94,95
Reunion,T,8,95,99,106
Reunion,T,9,102,114,97
Reunion,T,10,100,93,119
Reunion,T,11,91,118,121
Reunion,T,12,97,93,123
Reunion,T,13,112,91,95
Reunion,T,14,90,87,107
Reunion,T,15,89,72,102
Reunion,T,16,91,96,108
Reunion,T,17,97,88,115
Reunion,T,18,82,74,101
Reunion,T,19,104,105,124
Reunion,T,20,111,86,90
Reunion,T,21,97,91,114
Reunion,T,22,89,84,133
Reunion,T,23,98,94,130
Reunion,T,24,99,81,108
Reunion,T,25,113,97,101
Reunion,T,26,100,102,134
Reunion,T,27,97,94,130
Reunion,T,28,100,112,110
Reunion,T,29,84,104,126
Reunion,T,30,119,104,99
Reunion,T,31,98,97,133
Reunion,T,32,99,88,108
Reunion,T,33,88,84,125
Reunion,T,34,98,89,121
Reunion,T,35,94,96,107
Reunion,T,36,88,104,132
Reunion,T,37,83,106,114
Reunion,T,38,77,111,90
Reunion,T,39,111,102,109
Reunion,T,40,109,100,110
Reunion,T,41,116,101,106
Reunion,T,42,97,119,112
Reunion,T,43,107,116,107
Reunion,T,44,112,100,116
Reunion,T,45,96,113,97
Reunion,T,46,96,82,127
Reunion,T,47,96,112,94
Reunion,T,48,83,90,97
Reunion,T,49,95,100,109
Reunion,T,50,74,80,124
Reunion,T,51,89,109,128
Reunion,T,52,94,120,119
Rumunia,T,1,5333,5784,6783
Rumunia,T,2,5201,6136,6524
Rumunia,T,3,5500,6256,6975
Rumunia,T,4,5490,6259,6334
Rumunia,T,5,5808,6215,6281
Rumunia,T,6,5668,5734,5936
Rumunia,T,7,5838,5497,5961
Rumunia,T,8,5859,5344,5958
Rumunia,T,9,6111,5508,6239
Rumunia,T,10,6152,5498,6402
Rumunia,T,11,5734,5445,6851
Rumunia,T,12,5427,5359,7132
Rumunia,T,13,5465,4922,7214
Rumunia,T,14,5300,5186,7180
Rumunia,T,15,5236,5094,7141
Rumunia,T,16,4774,4783,6769
Rumunia,T,17,4868,4860,6485
Rumunia,T,18,4675,5023,5886
Rumunia,T,19,4540,4696,5596
Rumunia,T,20,4637,4787,5291
Rumunia,T,21,4676,4770,4961
Rumunia,T,22,4861,4635,4839
Rumunia,T,23,4656,4660,4864
Rumunia,T,24,4658,4937,4648
Rumunia,T,25,4403,4919,5518
Rumunia,T,26,4194,4671,4810
Rumunia,T,27,4591,4834,4674
Rumunia,T,28,4699,4338,4937
Rumunia,T,29,4502,4424,4628
Rumunia,T,30,4505,4728,4992
Rumunia,T,31,4708,4473,4848
Rumunia,T,32,4689,4425,4502
Rumunia,T,33,4694,4485,4659
Rumunia,T,34,4542,4645,4579
Rumunia,T,35,4408,4517,4673
Rumunia,T,36,4349,4227,5322
Rumunia,T,37,4454,4319,5959
Rumunia,T,38,4520,4327,6342
Rumunia,T,39,4643,4699,7454
Rumunia,T,40,5194,4826,9420
Rumunia,T,41,5048,4757,10797
Rumunia,T,42,5318,4772,11607
Rumunia,T,43,5145,4720,11323
Rumunia,T,44,5140,4745,10768
Rumunia,T,45,4963,4906,8875
Rumunia,T,46,5082,4608,7922
Rumunia,T,47,5364,4685,6921
Rumunia,T,48,5291,4928,6226
Rumunia,T,49,5457,5014,5892
Rumunia,T,50,5461,5239,5704
Rumunia,T,51,5623,5013,5809
Rumunia,T,52,5768,5079,5617
Rosja,M,1,162054,169509,219769
Rosja,M,2,144109,149014,172672
Rosja,M,3,171527,156510,191320
Rosja,M,4,161242,146662,168345
Rosja,M,5,155393,152948,162283
Rosja,M,6,152104,144057,185655
Rosja,M,7,149905,145570,215265
Rosja,M,8,145335,144216,208237
Rosja,M,9,143231,144547,201945
Rosja,M,10,149686,149900,247197
Rosja,M,11,142788,143368,257292
Rosja,M,12,151536,152007,215529
San Marino,M,1,28,23,22
San Marino,M,2,19,15,32
San Marino,M,3,23,18,36
San Marino,M,4,19,26,28
San Marino,M,5,24,23,21
San Marino,M,6,11,24,20
San Marino,M,7,12,22,24
San Marino,M,8,22,22,22
San Marino,M,9,19,18,23
San Marino,M,10,24,17,26
San Marino,M,11,25,27,23
San Marino,M,12,18,16,35
Serbia,M,1,9296,10075,10417
Serbia,M,2,9771,9571,10166
Serbia,M,3,9824,9136,12952
Serbia,M,4,8203,8356,12659
Serbia,M,5,7778,8303,10525
Serbia,M,6,7403,8031,9098
Serbia,M,7,7877,7943,8417
Serbia,M,8,7920,7758,8447
Serbia,M,9,7620,7346,11032
Serbia,M,10,8702,8256,14666
Serbia,M,11,8288,8172,15113
Serbia,M,12,8973,8511,12409
Seszele,M,1,64,80,69
Seszele,M,2,58,67,78
Seszele,M,3,57,67,74
Seszele,M,4,77,67,63
Seszele,M,5,70,67,91
Seszele,M,6,72,55,108
Seszele,M,7,65,66,98
Seszele,M,8,61,47,66
Seszele,M,9,59,71,72
Seszele,M,10,90,63,72
Seszele,M,11,76,69,59
Seszele,M,12,69,76,75
Singapur,M,1,1931,1847,1868
Singapur,M,2,1662,1631,1763
Singapur,M,3,1778,1837,1921
Singapur,M,4,1668,1765,1933
Singapur,M,5,1829,1767,1972
Singapur,M,6,1748,1735,1934
Singapur,M,7,1791,1804,1996
Singapur,M,8,1806,1824,1960
Singapur,M,9,1655,1703,1947
Singapur,M,10,1773,1833,2483
Singapur,M,11,1703,1767,2344
Singapur,M,12,1938,1933,2099
Słowacja,T,1,1094,1105,2089
Słowacja,T,2,1150,1094,2125
Słowacja,T,3,1198,1176,1995
Słowacja,T,4,1095,1135,1971
Słowacja,T,5,1205,1224,1987
Słowacja,T,6,1159,1339,2081
Słowacja,T,7,1140,1252,2009
Słowacja,T,8,1292,1254,1963
Słowacja,T,9,1353,1208,1869
Słowacja,T,10,1357,1200,1784
Słowacja,T,11,1165,1110,1677
Słowacja,T,12,1111,1068,1584
Słowacja,T,13,1128,1025,1467
Słowacja,T,14,1051,986,1333
Słowacja,T,15,1070,1073,1309
Słowacja,T,16,944,984,1253
Słowacja,T,17,906,1065,1166
Słowacja,T,18,963,979,1133
Słowacja,T,19,952,955,1126
Słowacja,T,20,1004,943,999
Słowacja,T,21,986,922,962
Słowacja,T,22,985,924,1001
Słowacja,T,23,922,929,1000
Słowacja,T,24,955,1086,1048
Słowacja,T,25,891,996,1090
Słowacja,T,26,922,924,968
Słowacja,T,27,946,910,988
Słowacja,T,28,970,876,999
Słowacja,T,29,969,947,896
Słowacja,T,30,1080,1025,1027
Słowacja,T,31,1110,941,953
Słowacja,T,32,991,941,974
Słowacja,T,33,931,858,1011
Słowacja,T,34,961,963,893
Słowacja,T,35,940,1032,996
Słowacja,T,36,999,894,1041
Słowacja,T,37,952,936,1142
Słowacja,T,38,1019,943,1154
Słowacja,T,39,1007,976,1103
Słowacja,T,40,995,980,1214
Słowacja,T,41,1022,943,1202
Słowacja,T,42,982,1020,1309
Słowacja,T,43,1043,941,1450
Słowacja,T,44,955,1001,1505
Słowacja,T,45,1030,989,1675
Słowacja,T,46,994,1003,1854
Słowacja,T,47,1021,986,1923
Słowacja,T,48,1036,994,1922
Słowacja,T,49,1009,969,1897
Słowacja,T,50,1034,1002,1758
Słowacja,T,51,1129,1053,1596
Słowacja,T,52,1014,1036,1486
Słowenia,T,1,401,469,603
Słowenia,T,2,411,488,624
Słowenia,T,3,398,481,590
Słowenia,T,4,425,477,528
Słowenia,T,5,457,515,526
Słowenia,T,6,419,507,434
Słowenia,T,7,490,474,427
Słowenia,T,8,476,480,470
Słowenia,T,9,512,471,442
Słowenia,T,10,465,411,442
Słowenia,T,11,479,457,441
Słowenia,T,12,443,426,421
Słowenia,T,13,431,381,438
Słowenia,T,14,421,412,405
Słowenia,T,15,390,344,421
Słowenia,T,16,390,402,457
Słowenia,T,17,400,388,382
Słowenia,T,18,345,367,389
Słowenia,T,19,367,358,401
Słowenia,T,20,348,393,407
Słowenia,T,21,353,395,390
Słowenia,T,22,366,344,411
Słowenia,T,23,360,313,386
Słowenia,T,24,338,345,395
Słowenia,T,25,354,367,379
Słowenia,T,26,317,331,379
Słowenia,T,27,322,349,341
Słowenia,T,28,318,327,333
Słowenia,T,29,374,351,327
Słowenia,T,30,364,407,369
Słowenia,T,31,399,364,330
Słowenia,T,32,390,380,351
Słowenia,T,33,337,345,325
Słowenia,T,34,381,385,327
Słowenia,T,35,365,340,394
Słowenia,T,36,358,333,415
Słowenia,T,37,391,388,403
Słowenia,T,38,382,342,420
Słowenia,T,39,342,366,429
Słowenia,T,40,390,379,411
Słowenia,T,41,371,387,451
Słowenia,T,42,371,383,469
Słowenia,T,43,417,369,461
Słowenia,T,44,393,333,545
Słowenia,T,45,348,385,580
Słowenia,T,46,392,404,582
Słowenia,T,47,384,362,537
Słowenia,T,48,406,359,588
Słowenia,T,49,407,436,527
Słowenia,T,50,422,444,498
Słowenia,T,51,427,437,473
Słowenia,T,52,421,396,490
Afryka Południowa,T,1,10251,9792,23511
Afryka Południowa,T,2,9499,9595,24952
Afryka Południowa,T,3,9276,9556,21802
Afryka Południowa,T,4,8653,8907,15818
Afryka Południowa,T,5,9014,9065,13832
Afryka Południowa,T,6,9158,9465,12181
Afryka Południowa,T,7,8860,9098,11440
Afryka Południowa,T,8,8864,9039,10717
Afryka Południowa,T,9,9181,9479,10964
Afryka Południowa,T,10,9427,9670,10919
Afryka Południowa,T,11,9093,9171,10169
Afryka Południowa,T,12,9321,9153,10172
Afryka Południowa,T,13,9690,9289,10621
Afryka Południowa,T,14,10125,9633,10846
Afryka Południowa,T,15,9414,9636,10808
Afryka Południowa,T,16,9591,9398,10636
Afryka Południowa,T,17,9779,9891,10928
Afryka Południowa,T,18,10123,10225,11471
Afryka Południowa,T,19,10420,10462,11723
Afryka Południowa,T,20,10525,10180,11773
Afryka Południowa,T,21,10193,10372,12287
Afryka Południowa,T,22,10888,10946,13566
Afryka Południowa,T,23,11834,11814,14339
Afryka Południowa,T,24,11521,11995,13942
Afryka Południowa,T,25,11600,12395,15722
Afryka Południowa,T,26,11254,11834,17347
Afryka Południowa,T,27,11990,11641,18878
Afryka Południowa,T,28,10908,11219,21363
Afryka Południowa,T,29,11223,10608,20398
Afryka Południowa,T,30,10309,10732,19068
Afryka Południowa,T,31,10648,10903,17442
Afryka Południowa,T,32,10744,11020,15646
Afryka Południowa,T,33,10689,10651,15778
Afryka Południowa,T,34,10124,10260,14884
Afryka Południowa,T,35,10540,10022,14699
Afryka Południowa,T,36,11079,10568,13684
Afryka Południowa,T,37,10758,10132,12170
Afryka Południowa,T,38,10500,9984,11792
Afryka Południowa,T,39,10394,9557,11156
Afryka Południowa,T,40,10494,10241,11145
Afryka Południowa,T,41,10067,9748,11028
Afryka Południowa,T,42,9653,9630,10446
Afryka Południowa,T,43,9729,9588,10048
Afryka Południowa,T,44,9878,9655,11137
Afryka Południowa,T,45,9660,9917,10968
Afryka Południowa,T,46,9940,9299,10339
Afryka Południowa,T,47,9431,9311,10152
Afryka Południowa,T,48,9813,9979,11489
Afryka Południowa,T,49,10062,10301,11297
Afryka Południowa,T,50,9542,9720,11971
Afryka Południowa,T,51,10448,10169,13326
Afryka Południowa,T,52,10812,10542,13581
Korea Południowa,T,1,7000,6292,6216
Korea Południowa,T,2,7135,6410,6326
Korea Południowa,T,3,7370,6169,6184
Korea Południowa,T,4,7014,6056,5836
Korea Południowa,T,5,6888,5876,6074
Korea Południowa,T,6,6392,5628,5774
Korea Południowa,T,7,6094,5672,6071
Korea Południowa,T,8,6211,5844,5908
Korea Południowa,T,9,5938,5683,5946
Korea Południowa,T,10,5940,5840,6097
Korea Południowa,T,11,5739,5511,6035
Korea Południowa,T,12,5508,5622,5888
Korea Południowa,T,13,5560,5690,5915
Korea Południowa,T,14,5573,5627,5833
Korea Południowa,T,15,5632,5593,5935
Korea Południowa,T,16,5621,5702,5819
Korea Południowa,T,17,5471,5370,5764
Korea Południowa,T,18,5519,5447,5855
Korea Południowa,T,19,5477,5612,5943
Korea Południowa,T,20,5451,5762,5558
Korea Południowa,T,21,5312,5427,5780
Korea Południowa,T,22,5436,5536,5652
Korea Południowa,T,23,5439,5401,5703
Korea Południowa,T,24,5208,5329,5636
Korea Południowa,T,25,5220,5381,5720
Korea Południowa,T,26,5196,5434,5701
Korea Południowa,T,27,5233,5363,5683
Korea Południowa,T,28,5237,5170,5702
Korea Południowa,T,29,5482,5136,5866
Korea Południowa,T,30,5539,5289,6004
Korea Południowa,T,31,5843,5346,5892
Korea Południowa,T,32,5456,5423,5814
Korea Południowa,T,33,5332,5256,5846
Korea Południowa,T,34,5295,5264,5813
Korea Południowa,T,35,5127,5452,5835
Korea Południowa,T,36,5343,5513,5974
Korea Południowa,T,37,5480,5246,5960
Korea Południowa,T,38,5216,5502,6007
Korea Południowa,T,39,5342,5655,6088
Korea Południowa,T,40,5633,5672,6094
Korea Południowa,T,41,5577,5653,6113
Korea Południowa,T,42,5636,5932,6350
Korea Południowa,T,43,5604,5833,6550
Korea Południowa,T,44,5778,5828,6456
Korea Południowa,T,45,5790,5734,6482
Korea Południowa,T,46,5494,5999,6654
Korea Południowa,T,47,5598,5993,6671
Korea Południowa,T,48,5667,5991,6935
Korea Południowa,T,49,5780,5859,7050
Korea Południowa,T,50,5958,6095,7222
Korea Południowa,T,51,6140,6048,7216
Korea Południowa,T,52,6106,5914,7095
Hiszpania,T,1,11204,9127,10636
Hiszpania,T,2,10905,10025,12065
Hiszpania,T,3,10981,10476,13184
Hiszpania,T,4,10324,10141,12884
Hiszpania,T,5,9893,9964,11771
Hiszpania,T,6,10015,9686,10546
Hiszpania,T,7,10105,9363,9657
Hiszpania,T,8,9656,9216,9171
Hiszpania,T,9,9599,8920,8638
Hiszpania,T,10,9203,8595,8443
Hiszpania,T,11,8862,8205,8236
Hiszpania,T,12,8616,8027,8355
Hiszpania,T,13,8628,8171,8333
Hiszpania,T,14,8414,8087,8244
Hiszpania,T,15,8335,8055,8097
Hiszpania,T,16,8112,7801,8204
Hiszpania,T,17,7735,7759,7994
Hiszpania,T,18,7359,7744,8220
Hiszpania,T,19,7595,7731,7842
Hiszpania,T,20,7511,7536,7669
Hiszpania,T,21,7527,7436,7495
Hiszpania,T,22,7306,7618,7499
Hiszpania,T,23,7109,7508,7813
Hiszpania,T,24,7154,7016,7921
Hiszpania,T,25,7713,7404,7410
Hiszpania,T,26,7698,7570,7646
Hiszpania,T,27,7305,8050,7661
Hiszpania,T,28,7366,7463,7671
Hiszpania,T,29,7186,7301,8547
Hiszpania,T,30,7155,7464,8508
Hiszpania,T,31,7731,7136,8806
Hiszpania,T,32,8003,7317,8962
Hiszpania,T,33,7194,7128,8902
Hiszpania,T,34,7015,6920,8348
Hiszpania,T,35,6927,6898,8028
Hiszpania,T,36,6906,6904,8045
Hiszpania,T,37,6834,6939,7650
Hiszpania,T,38,7153,6996,7610
Hiszpania,T,39,7230,7027,7663
Hiszpania,T,40,7210,6978,7650
Hiszpania,T,41,7437,7312,7754
Hiszpania,T,42,7350,7314,7893
Hiszpania,T,43,7327,7543,8313
Hiszpania,T,44,7794,7698,7940
Hiszpania,T,45,8012,7677,8875
Hiszpania,T,46,7999,8036,8922
Hiszpania,T,47,7932,8217,8994
Hiszpania,T,48,7929,8328,9496
Hiszpania,T,49,8051,8021,9149
Hiszpania,T,50,8312,8340,9645
Hiszpania,T,51,8427,8393,9959
Hiszpania,T,52,8650,8333,10098
Szwecja,T,1,2054,1993,2370
Szwecja,T,2,1997,1870,2353
Szwecja,T,3,2001,1889,2307
Szwecja,T,4,1984,1878,2130
Szwecja,T,5,1907,1863,1910
Szwecja,T,6,2035,1936,1918
Szwecja,T,7,2076,1818,1893
Szwecja,T,8,2168,1874,1863
Szwecja,T,9,2241,1826,1712
Szwecja,T,10,2260,1745,1859
Szwecja,T,11,2145,1884,1737
Szwecja,T,12,2053,1687,1770
Szwecja,T,13,2003,1720,1720
Szwecja,T,14,2035,1747,1751
Szwecja,T,15,1829,1661,1705
Szwecja,T,16,1734,1785,1736
Szwecja,T,17,1686,1747,1665
Szwecja,T,18,1706,1659,1726
Szwecja,T,19,1616,1687,1708
Szwecja,T,20,1530,1601,1597
Szwecja,T,21,1504,1530,1561
Szwecja,T,22,1525,1586,1561
Szwecja,T,23,1556,1592,1560
Szwecja,T,24,1484,1492,1519
Szwecja,T,25,1543,1574,1542
Szwecja,T,26,1677,1560,1537
Szwecja,T,27,1640,1592,1585
Szwecja,T,28,1637,1613,1609
Szwecja,T,29,1776,1537,1566
Szwecja,T,30,1694,1569,1640
Szwecja,T,31,1770,1543,1526
Szwecja,T,32,1495,1599,1633
Szwecja,T,33,1550,1537,1589
Szwecja,T,34,1540,1593,1606
Szwecja,T,35,1628,1692,1623
Szwecja,T,36,1657,1488,1661
Szwecja,T,37,1556,1606,1707
Szwecja,T,38,1685,1587,1678
Szwecja,T,39,1593,1695,1723
Szwecja,T,40,1648,1687,1661
Szwecja,T,41,1757,1704,1700
Szwecja,T,42,1584,1672,1741
Szwecja,T,43,1702,1774,1736
Szwecja,T,44,1753,1689,1834
Szwecja,T,45,1692,1751,1777
Szwecja,T,46,1593,1727,1787
Szwecja,T,47,1586,1765,1740
Szwecja,T,48,1831,1740,1828
Szwecja,T,49,1838,1779,1942
Szwecja,T,50,1771,1767,1919
Szwecja,T,51,1792,1874,1950
Szwecja,T,52,1809,1766,2043
Szwajcaria,T,1,1561,1341,1907
Szwajcaria,T,2,1541,1389,1791
Szwajcaria,T,3,1494,1358,1761
Szwajcaria,T,4,1397,1403,1611
Szwajcaria,T,5,1397,1439,1439
Szwajcaria,T,6,1441,1481,1410
Szwajcaria,T,7,1458,1555,1299
Szwajcaria,T,8,1478,1527,1312
